action,object,result,result_description
Absorb,Divided Solid,Activated Alumina,A manufactured form of alumina (aluminium oxide) having a nanoporous structure.
Absorb,Divided Solid,Activated Carbon,"(or activated charcoal, activated coal, carbo activatus) A form of carbon processed to be riddled with small, low-volume pores that increase the surface area available for adsorption or chemical reactions. Due to its high degree of microporosity, just one gram of activated carbon has a surface area in excess of 500 square meters. An activation level sufficient for useful application may be attained solely from high surface area; however, further chemical treatment often enhances adsorption properties."
Absorb,Divided Solid,Adhesive,"A compound that adheres or bonds two items together. Adhesives may come from either natural or synthetic sources. Some modern adhesives are extremely strong, and are becoming increasingly important in modern construction and industry."
Absorb,Divided Solid,Aerogels,"A manufactured material with the lowest bulk density of any known porous solid. It is derived from a gel in which the liquid component of the gel has been replaced with a gas. The result is an extremely low-density solid, with a notable effectiveness as a thermal insulator."
Absorb,Divided Solid,Amphiphiles,A chemical compound possessing both hydrophilic and hydrophobic properties. Common amphiphilic substances are soap and detergent.
Absorb,Divided Solid,Binder,An ingredient used to bind together two or more other materials in mixtures. Its two principal properties are adhesion and cohesion.
Absorb,Divided Solid,Bingham Plastic,"A viscoplastic material that behaves as a rigid body at low stresses but flows as a viscous fluid at high stress. A common example is toothpaste, which will not be extruded until a certain pressure is applied to the tube. It then is pushed out as a solid plug."
Absorb,Divided Solid,Brush,"A device with bristles, wire or other filaments, used for cleaning, grooming hair, applying liquids such as paint, sealing gaps between moving surfaces, deburring and other kinds of surface finishing, and for many other purposes."
Absorb,Divided Solid,Creaming,"The migration of the dispersed phase of an emulsion, under the influence of buoyancy. The particles float upwards or sink, depending on how large they are and how much less dense or more dense they may be than the continuous phase, and also how viscous or how thixotropic the continuous phase might be. For as long as the particles remain separated, the process is called creaming."
Absorb,Divided Solid,Cyclone Separation,"A method of removing particulates from an air, gas or water stream, without the use of filters, through vortex separation. Rotational effects and gravity are used to separate mixtures of solids and fluids."
Absorb,Divided Solid,Diffusion,The movement of particles from a high concentration to a low concentration.
Absorb,Divided Solid,Electret,"An Electret is a dielectric material that has a quasi-permanent electric charge or dipole polarisation. An electret generates internal and external electric fields, and is the electrostatic equivalent of a permanent magnet."
Absorb,Divided Solid,Electrophoresis,The motion of dispersed particles relative to a fluid under the influence of an electric field.
Absorb,Divided Solid,Foam,A substance that is formed by trapping many gas bubbles in a liquid or solid.
Absorb,Divided Solid,Fractal Forms,"A fractal is generally 'a rough or fragmented geometric shape that can be split into parts, each of which is (at least approximately) a reduced-size copy of the whole,' a property called self-similarity. A mathematical fractal is based on an equation that undergoes iteration, a form of feedback based on recursion."
Absorb,Divided Solid,Gel,"A gel is a solid, jelly-like material that can have properties ranging from soft and weak to hard and tough. Gels are defined as a substantially dilute crosslinked system, which exhibits no flow when in the steady-state. By weight, gels are mostly liquid, yet they behave like solids due to a three-dimensional crosslinked network within the liquid. It is the crosslinks within the fluid that give a gel its structure (hardness) and contribute to stickiness (tack)."
Absorb,Divided Solid,Gettering,"A process for removal of impurities by reacting them with or attracting them to a suitable agent or part of the system (a 'getter'), with the result that their harmful effect is eliminated. Gettering originated in vaccuum tubes, where Ti was used to getter trace remnant gasses. Gettering is important today for the removal of unwanted trace elements (typically metals) from Silicon integrated circuits."
Absorb,Divided Solid,Metal Foam,"A cellular structure consisting of a solid metal, frequently aluminium, containing a large volume fraction of gas-filled pores. The pores can be sealed (closed-cell foam), or they can form an interconnected network (open-cell foam)."
Absorb,Divided Solid,Nanoporous Material,"Materials consisting of a regular organic or inorganic framework supporting a regular, porous structure. Pores are by definition roughly in the nanometre range."
Absorb,Divided Solid,Nap,The raised (fuzzy) surface on certain kinds of cloth (such as velvet) or other materials.
Absorb,Divided Solid,Ostwald Ripening,"An observed phenomenon in solid solutions or liquid sols that describes the change of an inhomogeneous structure over time, i.e., small crystals or sol particles dissolve, and redeposit onto larger crystals or sol particles. Occurs because larger particles are more energetically favored than smaller particles. This stems from the fact that molecules on the surface of a particle are energetically less stable than the ones in the interior. Ostwald ripening is also observed in liquid-liquid systems, causing diffusion of monomers (i.e. individual molecules or atoms) from smaller droplets to larger droplets due to greater solubility of the single monomer molecules in the larger monomer droplets."
Absorb,Divided Solid,Oxidation,"A chemical reaction that involves the loss of electrons or an increase in the oxidation state by a molecule, atom or ion."
Absorb,Divided Solid,Physisorption,"(or physical adsorption) A type of adsorption in which the adsorbate adheres to the surface only through Van der Waals (weak intermolecular) interactions, which are also responsible for the non-ideal behaviour of real gases."
Absorb,Divided Solid,Porosity,The quality of being porous - i.e. having voids or spaces within a solid substance within or through which fluids can be present.
Absorb,Divided Solid,Reduction,"A chemical reaction that involves the gain of electrons or a decrease in the oxidation state by a molecule, atom or ion."
