operation,parameter,result,result_description
Change,Brightness,Absorption (EM radiation),"The process by which the energy of a photon is taken up by matter, typically the electrons of an atom. The electromagnetic energy is transformed to another form of energy, e.g. to heat."
Change,Brightness,Absorptive Filter,A filter that absorbes some wavelengths of incident radiation whilst transmitting others.
Change,Brightness,Acousto-optic Effect,"A specific case of photoelasticity, where there is a change of a material's permittivity due to a mechanical strain resulting from an acoustic wave which has been excited within a transparent medium giving rise to variation of the refractive index. This creates a diffraction grating moving with the velocity given by the spread on the sound wave in the medium which defracts light forming a prominent diffraction pattern."
Change,Brightness,Antibubble,"A droplet of liquid surrounded by a thin film of gas, as opposed to a gas bubble, which is a sphere of gas surrounded by a thin film of liquid. Antibubbles are formed when liquid drops or flows turbulently into the same or another liquid. They can either skim across the surface of a liquid such as water (e.g. water globules), or be completely submerged in the liquid to which they are directed."
Change,Brightness,Antifoam,"A collection of stabilised antibubbles (antibubble: a droplet of liquid surrounded by a thin film of gas, as opposed to a gas bubble, which is a sphere of gas surrounded by a thin film of liquid)."
Change,Brightness,Argon Flash,"A method for generating very short and extremely bright flashes of light using a shock wave in argon or other suitable noble gas. The device consists of a vessel filled with argon and a solid explosive charge. The explosion generates a shock wave, which heats the gas to very high temperature (over 104 K). The gas then emits a flash of intense visible and ultraviolet radiation. The amount of explosive can control the intensity of the flash."
Change,Brightness,Bioluminescence,The production and emission of light by a living organism as the result of a chemical reaction
Change,Brightness,Birefringence,"Birefringence, or double refraction, is the decomposition of a ray of light into two rays (the ordinary ray and the extraordinary ray) when it passes through certain types of material, such as calcite crystals or boron nitride, depending on the polarisation of the light. This effect can occur only if the structure of the material is anisotropic (directionally dependent)."
Change,Brightness,Bragg Diffraction,Diffraction from a three dimensional periodic structure such as atoms in a crystal. It is similar to what occurs when waves are scattered from a diffraction grating. Bragg diffraction is a consequence of interference between waves reflecting from different crystal planes.
Change,Brightness,Brewster's Angle,"Brewster's angle (also known as the polarisation angle) is an angle of incidence at which light with a particular polarisation is perfectly transmitted through a transparent dielectric surface, with no reflection. When unpolarised light is incident at this angle, the light that is reflected from the surface is therefore perfectly polarised."
Change,Brightness,Cathodoluminescence,"An optical and electrical phenomenon whereby a beam of electrons is generated by an electron gun (e.g. cathode ray tube) and then impacts on a luminescent material such as a phosphor, causing the material to emit visible light. The most common example is the screen of a television."
Change,Brightness,Chemiluminescence,The emission of light (luminescence) with limited emission of heat as the result of a chemical reaction.
Change,Brightness,Cholesteric Liquid Crystal,(or chiral nematic liquid crystal) a type of liquid crystal with a helical structure (and is therefore chiral). They organize in layers with a director axis which varies with layers. The variation of the director axis tends to be periodic in nature. The period of this variation varies with temperature and it can also be affected by the boundary conditions.
Change,Brightness,Christiansen Effect,A narrow bandpass or monochromatic optical filter which consists of an optical cell which is stuffed with a crushed substance (e.g. glass) and a (mostly organic) liquid.
Change,Brightness,Coherent Light,"Two light waves are said to be coherent if they have a constant relative phase, which also implies that they have the same frequency."
Change,Brightness,Colloid,"A type of chemical mixture where one substance is dispersed evenly throughout another. The particles of the dispersed substance are only suspended in the mixture, unlike a solution, where they are completely dissolved within. This occurs because the particles in a colloid are larger than in a solution - small enough to be dispersed evenly and maintain a homogenous appearance, but large enough to scatter light and not dissolve."
Change,Brightness,Combustion,"(or burning) A complex sequence of exothermic chemical reactions between a fuel and an oxidant accompanied by the production of heat or both heat and light in the form of either a glow or flames. Direct combustion by atmospheric oxygen is a reaction mediated by radical intermediates typically produced as a result of thermal runaway, where the heat generated by combustion is necessary to maintain the high temperature necessary for radical production."
Change,Brightness,Conduction (electrical),"The movement of electrically charged particles through a transmission medium (electrical conductor). The movement of charge constitutes an electric current. The charge transport may result as a response to an electric field, or as a result of a concentration gradient in carrier density, that is, by diffusion ."
Change,Brightness,Deflagration,"A technical term describing subsonic combustion that usually propagates through thermal conductivity (hot burning material heats the next layer of cold material and ignites it). Most 'fire' found in daily life, from flames to explosions, is technically deflagration. Deflagration is different from detonation (which is supersonic and propagates through shock compression)."
Change,Brightness,Depth of Field,"In optics, particularly as it relates to film and photography, depth of field is the distance between the nearest and farthest objects in a scene that appear acceptably sharp in an image."
Change,Brightness,Detonation,"Detonation involves a supersonic exothermic front accelerating through a medium that eventually drives a shock front propagating directly in front of it. Detonations are observed in both conventional solid and liquid explosives, as well as in reactive gases."
Change,Brightness,Dichroic Filter,"A colour filter based on the use of the principle of interference, typically used to selectively pass light of a small range of colours while reflecting other colours"
Change,Brightness,Diffraction,"Various phenomena which occur when a wave encounters an obstacle. It is described as the apparent bending of waves around small obstacles and the spreading out of waves past small openings. Very similar effects are observed when there is an alteration in the properties of the medium in which the wave is travelling, for example a variation in refractive index for light waves or in acoustic impedance for sound waves and these can also be referred to as diffraction effects."
Change,Brightness,Diffraction Grating,"An optical component with a regular pattern, which splits (diffracts) light into several beams travelling in different directions. The directions of these beams depend on the spacing of the grating and the wavelength of the light so that the grating acts as a dispersive element. Because of this, gratings are commonly used in monochromators and spectrometers."
Change,Brightness,Dispersion (of waves),"In optics, dispersion is the phenomenon in which the phase velocity of a wave depends on its frequency. Media having such a property are termed dispersive media. Dispersion is most often described for light waves, but it may occur for any kind of wave that interacts with a medium or passes through an inhomogeneous geometry (e.g. a waveguide), such as sound waves."
Change,Brightness,Electric Arc,"An electrical breakdown of a gas which produces an ongoing plasma discharge, resulting from a current flowing through normally nonconductive media such as air"
Change,Brightness,Electric Spark,"A type of electrostatic discharge that occurs when an electric field creates an ionized electrically conductive channel in air producing a brief emission of light and sound. A spark is formed when the electric field strength exceeds the dielectric field strength of air. This causes an increase in the number of free electrons and ions in the air, temporarily causing the air to become an electrical conductor through dielectric breakdown."
Change,Brightness,Electro-Optic Effects,"A change in the optical properties of a material in response to an electric field that varies slowly compared with the frequency of light. The term encompasses a number of distinct phenomena, which can be subdivided into a) change of the absorption (electroabsorption, Franz-Keldysh effect, Quantum-confined Stark effect, electro-chromatic effect) and b) change of the refractive index(Pockels effect, Kerr Effect, electro-gyration)"
Change,Brightness,Electrochemiluminescence,"A kind of luminescence produced during electrochemical reactions in solutions. In electrogenerated chemiluminescence, electrochemically generated intermediates undergo a highly exergonic reaction to produce an electronically excited state that then emits light."
Change,Brightness,Electrochromism,"A type of electro-optic effect. The creation of an absorption band at some wavelengths in a material in response to an electric field, which gives rise to a change in colour (i.e. the phenomenon displayed by some chemical species of reversibly changing color when a burst of charge is applied)."
Change,Brightness,Electroluminescence,"An optical phenomenon and electrical phenomenon in which a material emits light in response to an electric current passed through it, or to a strong electric field."
Change,Brightness,Electron Beam,"(also called Cathode Rays or e-beam) are streams of electrons observed in vacuum tubes, i.e. evacuated glass tubes that are equipped with at least two metal electrodes to which a voltage is applied, a cathode or negative electrode and an anode or positive electrode."
Change,Brightness,Electroplating,"The process of using electrical current to reduce cations of a desired material from a solution and coat a conductive object with a thin layer of the material, such as a metal. Primarily used to bestow a desired property (e.g., abrasion and wear resistance, corrosion protection, lubricity, aesthetic qualities, etc.) to a surface that otherwise lacks that property. Also used to build up thickness on undersized parts."
Change,Brightness,Explosion,"A sudden increase in volume and release of energy in an extreme manner, usually with the generation of high temperatures and the release of gases."
Change,Brightness,Fabry-Perot Interferometer,A system consisting of two parallel reflecting surfaces resulting in interference between the multiple reflections of light between the two reflecting surfaces. Also known as an Etalon.
Change,Brightness,Faraday Effect,An interaction between light and a magnetic field in a dielectric material. The rotation of the plane of polarisation is proportional to the intensity of the component of the magnetic field in the direction of the beam of light.
Change,Brightness,Ferrofluid,"A liquid which becomes strongly magnetised in the presence of a magnetic field. Ferrofluids are colloidal mixtures composed of nanoscale ferromagnetic, or ferrimagnetic, particles suspended in a carrier fluid, usually an organic solvent or water. The ferromagnetic nano-particles are coated with a surfactant to prevent their agglomeration (due to van der Waals and magnetic forces)."
Change,Brightness,Filter (optical),"Optical filters selectively transmits light having certain properties (often, a particular range of wavelengths, that is, range of colours of light), while blocking the remainder. Optical filters, generally, belong to one of two categories. The simplest, physically, is the absorptive filter, while the latter category, that of interference or dichroic filters, can be quite complex."
Change,Brightness,Flocculation,A process of contact and adhesion whereby the particles of a dispersion form larger-size clusters.
Change,Brightness,Fluorescence,"Fluorescence is a luminescence that is mostly found as an optical phenomenon in cold bodies, in which the molecular absorption of a photon triggers the emission of a photon with a longer (less energetic) wavelength. The energy difference between the absorbed and emitted photons ends up as molecular rotations, vibrations or heat. Sometimes the absorbed photon is in the ultraviolet range, and the emitted light is in the visible range."
Change,Brightness,Focusing,"The gathering of wavefronts of a wave (e.g. radiation) into a spherical or cylindical shape. Focusing of light is used in optics, however focusing can be applied to any radiation or wave."
Change,Brightness,Fractoluminescence,"The emission of light from the fracture (rather than rubbing) of a crystal. Depending upon the atomic and molecular composition of the crystal, when the crystal fractures a charge separation can occur making one side of the fractured crystal +ve charged and the other side -ve charged. As in triboluminescence, if the charge separation results in a large enough electric potential, a discharge across the gap and through the bath gas between the interfaces can occur."
Change,Brightness,Franz-Keldysh Effect,A change in optical absorption by a semiconductor when an electric field is applied. Used to create electroabsorption modulators.
Change,Brightness,Fresnel Diffraction,"(or near-field diffraction) A process of diffraction which occurs when a wave passes through an aperture and diffracts in the near field, causing any diffraction pattern observed to differ in size and shape, depending on the distance between the aperture and the projection. It occurs due to the short distance in which the diffracted waves propagate. When the distance is increased, outgoing diffracted waves become planar and Fraunhofer diffraction occurs."
Change,Brightness,Fresnel Lens,"A lens using less material compared to a conventional spherical lens by breaking the lens into a set of concentric annular sections. For each of these, the overall thickness of the lens is decreased, breaking the continuous surface of a standard lens into a set of surfaces of the same curvature, with discontinuities between them. This reduces the thickness (and weight and volume) of the lens, at the expense of reducing the imaging quality."
Change,Brightness,Gel,"A gel is a solid, jelly-like material that can have properties ranging from soft and weak to hard and tough. Gels are defined as a substantially dilute crosslinked system, which exhibits no flow when in the steady-state. By weight, gels are mostly liquid, yet they behave like solids due to a three-dimensional crosslinked network within the liquid. It is the crosslinks within the fluid that give a gel its structure (hardness) and contribute to stickiness (tack)."
Change,Brightness,Gravitational Lensing,"A gravitational lens is formed when the light from a very distant, bright source (such as a quasar) is 'bent' around a massive object (such as a cluster of galaxies) between the source object and the observer. The process is known as gravitational lensing, and is one of the predictions of Albert Einstein's general theory of relativity."
Change,Brightness,Holes,A hole is a confined lack of structure in some part of an object.
Change,Brightness,Image Processing,"Processing of images using mathematical operations by using any form of signal processing for which the input is an image, a series of images, or a video, such as a photograph or video frame The output of image processing may be either an image or a set of characteristics or parameters related to the image."
Change,Brightness,Incandescence,The emission of light (visible electromagnetic radiation) from a hot body due to its temperature.
Change,Brightness,Induction Heating,"The process of heating an electrically conducting object (usually a metal) by electromagnetic induction, where eddy currents are generated within the metal and resistance leads to Joule heating of the metal."
Change,Brightness,Interference,"The addition (superposition) of two or more waves that result in a new wave pattern. As most commonly used, the term interference usually refers to the interaction of waves which are correlated or coherent with each other, either because they come from the same source or because they have the same or nearly the same frequency."
Change,Brightness,Iridescence,"(also known as goniochromism) The property of certain surfaces which appear to change colour as the angle of view changes. Iridescence is commonly seen in items such as soap bubbles, butterfly wings, and sea shells. Caused by multiple reflections from multi-layered, semi-transparent surfaces in which phase shift and interference of the reflections modulates the incident light"
Change,Brightness,Kerr Effect,"(or the quadratic electro-optic effect) A change in the refractive index of a material in response to an electric field. Distinct from the Pockels effect in that the induced index change is directly proportional to the square of the electric field instead of to the magnitude of the field. All materials show a Kerr effect, but certain liquids display the effect more strongly than other materials."
Change,Brightness,Lens,"An optical device with perfect or approximate axial symmetry which transmits and refracts light, converging or diverging the beam."
Change,Brightness,Light Emitting Diode,"A semiconductor diode that emits light when an electric current is applied in the forward direction of the device, as in the simple LED circuit. The effect is a form of electroluminescence where incoherent and narrow-spectrum light is emitted from the p-n junction in a solid state material."
Change,Brightness,Liquid Crystals,"Substances that exhibit a phase of matter that has properties between those of a conventional liquid, and those of a solid crystal."
Change,Brightness,Luminescence,"The generation of light that usually occurs at low temperatures, and is thus a form of cold body radiation. It can be caused by chemical reactions, electrical energy, subatomic motions, or stress on a crystal. This distinguishes luminescence from incandescence, which is light generated by high temperatures."
Change,Brightness,Magneto-Optic Effects,A number of phenomena in which an electromagnetic wave propagates through a medium that has been altered by the presence of a quasistatic magnetic field. Includes the Faraday Effect and the Magneto-Optic Kerr Effect.
Change,Brightness,Magneto-Optic Kerr Effect,"(MOKE) Light reflected from a magnetised surface can change in both polarisation and reflectivity. Identical to the Faraday effect except that the magneto-optical Kerr effect is a measurement of the reflected light, while the Faraday effect is a measurement of the transmitted light. Both effects result from the off-diagonal components of the dielectric tensor e."
Change,Brightness,Mechanoluminescence,"Light emission resulting from any mechanical action on a solid. It can be produced through ultrasound, or through other means."
Change,Brightness,Microelectromechanical Systems,"(MEMS) is the technology of the very small, and merges at the nano-scale into nanoelectromechanical systems (NEMS) and nanotechnology. MEMS are made up of components between 1 to 100 micrometers in size (i.e. 0.001 to 0.1 mm) and MEMS devices generally range in size from a 20 micrometers (20 millionth of a meter) to a millimeter."
Change,Brightness,Mirage (photothermal deflection),A naturally occurring optical phenomenon in which light rays are bent to produce a displaced image of distant objects or the sky.
Change,Brightness,Moiré Effect,"An interference pattern created, for example, when two grids are overlaid at an angle, or when they have slightly different mesh sizes."
Change,Brightness,Nanocomposite,"A multiphase solid material where one of the phases has one, two or three dimensions of less than 100 nanometers (nm), or structures having nano-scale repeat distances between the different phases that make up the material. Can include porous media, colloids, gels and copolymers, but is more usually taken to mean the solid combination of a bulk matrix and nano-dimensional phase(s)."
Change,Brightness,Negative Index Metamaterials,"Artificial structures where the refractive index has a negative value over some frequency range. This does not occur in any known natural materials, and thus is only achievable with engineered structures known as metamaterials."
Change,Brightness,Negative Refraction,"An electromagnetic phenomenon where light rays are refracted at an interface in the reverse sense to that normally expected. Negative refraction occurs at interfaces between materials at which one has an ordinary positive phase velocity (i.e. a positive refractive index), and the other has the more exotic negative phase velocity (refractive index)."
Change,Brightness,Newton's Rings,"An interference pattern caused by the reflection of light between two surfaces - a spherical surface and an adjacent flat surface. When viewed with monochromatic light it appears as a series of concentric, alternating light and dark rings centered at the point of contact between the two surfaces. When viewed with white light, it forms a concentric ring pattern of rainbow colors because the different wavelengths of light interfere at different thicknesses of the air layer between the surfaces."
Change,Brightness,Nuclear Fission,"The splitting of the nucleus of an atom into parts (lighter nuclei) often producing free neutrons and other smaller nuclei, which may eventually produce photons (in the form of gamma rays). Fission of heavy elements is an exothermic reaction which can release large amounts of energy both as electromagnetic radiation and as kinetic energy of the fragments (heating the bulk material where fission takes place)."
Change,Brightness,Organic Light-emitting Diode,(or Light Emitting Polymer (LEP) or Organic Electro Luminescence (OEL)) A Light Emitting Diode (LED) whose emissive electroluminescent layer is composed of a film of organic compounds. The layer usually contains a polymer substance that allows suitable organic compounds to be deposited. They are deposited in rows and columns onto a flat carrier by a simple 'printing' process. The resulting matrix of pixels can emit light of different colors.
Change,Brightness,Phosphor Thermometry,"An optical method for surface temperature measurement. The method exploits luminescence emitted by phosphor material. Phosphors are fine white or pastel-colored inorganic powders which may be stimulated by any of a variety of means to luminesce, i.e. emit light. Certain characteristics of the emitted light change with temperature, including brightness, color, and afterglow duration. The latter is most commonly used for temperature measurement."
Change,Brightness,Phosphorescence,"A specific type of photoluminescence related to fluorescence. Unlike fluorescence, a phosphorescent material does not immediately re-emit the radiation it absorbs."
Change,Brightness,Photochromism,"The reversible transformation of a chemical species between two forms by the absorption of electromagnetic radiation, where the two forms have different absorption spectra. Trivially, this can be described as a reversible change of colour upon exposure to light."
Change,Brightness,Photoelasticity,A method used to determine the stress distribution in a material based upon changes in birefringence resulting from stress.
Change,Brightness,Photoluminescence,"A process in which a substance absorbs photons (electromagnetic radiation) and then re-radiates photons. Quantum mechanically, this can be described as an excitation to a higher energy state and then a return to a lower energy state accompanied by the emission of a photon. One of many forms of luminescence (light emission) and is distinguished by photoexcitation (excitation by photons)."
