from,to,result,result_description
Acoustic,Acoustic,Acoustics,"The the use of structures or other systems to affect the generation, propagation and reception of mechanical waves and vibrations."
Acoustic,Acoustic,Aerophonics,"The geration of sound using a column of air vibrating in a tube, typically in the case of a musical wind instrument."
Acoustic,Acoustic,Anechoic Chamber,"A room designed to stop reflections of either sound or electromagnetic waves. They are also insulated from exterior sources of noise. Used to simulate a quiet open-space of infinite dimension. Originally used in the context of acoustics (sound waves), their radiofrequency counterpart is also used, for example to test antennas, radars, or electromagnetic interference."
Acoustic,Acoustic,Anisotropy,"The property of being directionally dependent. It can be defined as a difference in a physical property (absorbance, refractive index, density, etc.) for some material when measured along different axes. An example is the light coming through a polarising lens."
Acoustic,Acoustic,Ceramic Foam,"A tough foam made from ceramics. Used in a variety of applications such as thermal insulation, acoustic insulation, absorption of environmental pollutants, filtration of molten metal alloys, and as substrate for catalysts requiring large internal surface area. Has been used as stiff lightweight structural material, specifically for support of reflecting telescope mirrors."
Acoustic,Acoustic,Heterodyne,"In radio and signal processing, heterodyning is the generation of new frequencies by mixing, or multiplying, two oscillating waveforms. It is useful for modulation and demodulation of signals, or placing information of interest into a useful frequency range."
Acoustic,Acoustic,Laser Microphone,A surveillance device that uses a laser beam to detect sound vibrations in a distant object. The laser beam is reflected off the object and returns to a receiver that converts the beam to an audio signal.
Acoustic,Acoustic,Resonant-Macrosonic Synthesis,A technique by which extremely energetic standing sound waves resonating in specially shaped closed cavities can be produced.
Acoustic,Acoustic,Vibrating String,"A vibrating string produces a sound whose frequency in most cases is constant. Therefore, since frequency characterizes the pitch, the sound produced is a constant note. Vibrating strings are the basis of any string instrument like guitar, cello, or piano."
Acoustic,Acoustic,Waveguide,"A structure which guides waves, such as electromagnetic waves or sound waves. There are different types of waveguide for each type of wave: electromagnetic, optical or acoustic."
Acoustic,Chemical,,
Acoustic,Electrical,,
Acoustic,Electromagnetic,Laser Microphone,A surveillance device that uses a laser beam to detect sound vibrations in a distant object. The laser beam is reflected off the object and returns to a receiver that converts the beam to an audio signal.
Acoustic,Electromagnetic,Tomography,"Imaging by sections or sectioning, through the use of any kind of penetrating wave. The method is used in radiology, archaeology, biology, geophysics, oceanography, materials science, astrophysics and other sciences."
Acoustic,Kinetic,Acoustic Levitation,A method for suspending matter in a medium by using acoustic radiation pressure from intense sound waves in the medium. Usually used for containerless processing. Although harder to control than some other methods it has the advantage of being able to levitate nonconducting materials.
Acoustic,Kinetic,Acoustic Lubrication,"(or sonic lubrication) occurs when sound permits vibration to introduce separation between sliding faces (or between a series of particles). The frequency of sound required to induce optimal vibration, and thus cause sonic lubrication, varies with the size of the particles (high frequencies will have the effect on sand and lower frequencies will have on boulders)."
Acoustic,Kinetic,Acoustic Tweezers,"A technology for controlling the movement of objects by sound waves. In a standing acoustic field, objects will experience an acoustic radiation force that moves the objects to special regions of the acoustic field.Depending on the properties of the objects, they can be moved to either acoustic pressure nodes or pressure antinodes."
Acoustic,Kinetic,Microfluidic Pump,Devices that can control and manipulate small fluid volumes. Typically this term refers to pumps with functional dimensions in the micrometer range.
Acoustic,Kinetic,Spring,An elastic object used to store mechanical energy.
Acoustic,Kinetic,Ultrasonic Motor,"A type of electric motor powered by the ultrasonic vibration of a component, the stator, placed against another component, the rotor or slider depending on the scheme of operation (rotation or linear translation)."
Acoustic,Kinetic,Vibrating String,"A vibrating string produces a sound whose frequency in most cases is constant. Therefore, since frequency characterizes the pitch, the sound produced is a constant note. Vibrating strings are the basis of any string instrument like guitar, cello, or piano."
Acoustic,Magnetic,,
Acoustic,Mechanical,,
Acoustic,Optical,,
Acoustic,Thermal,Microfluidic Pump,Devices that can control and manipulate small fluid volumes. Typically this term refers to pumps with functional dimensions in the micrometer range.
