from,to,result,result_description
Acoustic,Acoustic,Acoustic Absorption,"The process by which a material, structure, or object takes in sound energy when sound waves are encountered, as opposed to reflecting the energy. Part of the absorbed energy is transformed into heat and part is transmitted through the absorbing body."
Acoustic,Acoustic,Acoustic Cavitation,"Cavitation induced by an acoustic field. Microscopic gas bubbles which are generally present in a liquid will be forced to oscillate due to an applied acoustic field. If the acoustic intensity is sufficiently high, the bubbles will first grow in size, and then rapidly collapse. High power ultrasonics usually use the inertial cavitation of microscopic vacuum bubbles for treatment of surfaces, liquids and slurries."
Acoustic,Acoustic,Beat (acoustics),"An interference between two sounds of slightly different frequencies, perceived as periodic variations in volume whose rate is the difference between the two frequencies"
Acoustic,Acoustic,Creeping Wave,"When a wave front passes an obstruction, it spreads out into the shadowed space. A creeping wave, in electromagnetism or acoustics is the wave that is diffracted around the shadowed surface of a smooth body such as a sphere."
Acoustic,Acoustic,Damping,"Damping is any effect, either deliberately engendered or inherent to a system, that tends to reduce the amplitude of oscillations of an oscillatory system."
Acoustic,Acoustic,Diffraction,"Various phenomena which occur when a wave encounters an obstacle. It is described as the apparent bending of waves around small obstacles and the spreading out of waves past small openings. Very similar effects are observed when there is an alteration in the properties of the medium in which the wave is travelling, for example a variation in refractive index for light waves or in acoustic impedance for sound waves and these can also be referred to as diffraction effects."
Acoustic,Acoustic,Dispersion (of waves),"In optics, dispersion is the phenomenon in which the phase velocity of a wave depends on its frequency. Media having such a property are termed dispersive media. Dispersion is most often described for light waves, but it may occur for any kind of wave that interacts with a medium or passes through an inhomogeneous geometry (e.g. a waveguide), such as sound waves."
Acoustic,Acoustic,Doppler Effect,"The change in frequency and wavelength of a wave for an observer moving relative to the source of the waves. For waves that propagate in a medium, such as sound waves, the velocity of the observer and of the source are relative to the medium in which the waves are transmitted. The total Doppler effect may therefore result from motion of the source, motion of the observer, or motion of the medium."
Acoustic,Acoustic,Echo,"A reflection of sound, arriving at the listener some time after the direct sound. Typical examples are the echo produced by the bottom of a well, by a building, or by the walls of an enclosed room. A true echo is a single reflection of the sound source. The time delay is the extra distance divided by the speed of sound."
Acoustic,Acoustic,Interference,"The addition (superposition) of two or more waves that result in a new wave pattern. As most commonly used, the term interference usually refers to the interaction of waves which are correlated or coherent with each other, either because they come from the same source or because they have the same or nearly the same frequency."
Acoustic,Acoustic,Phononic Crystal,"A phononic crystal is a material which exhibits stop bands for phonons, preventing phonons of selected ranges of frequencies from being transmitted through the material."
Acoustic,Acoustic,Reflection,"The change in direction of a wavefront at an interface between two different media so that the wavefront returns into the medium from which it originated. Common examples include the reflection of light, sound and water waves."
Acoustic,Acoustic,Refraction,"The change in direction of a wave due to a change in its speed. This is most commonly observed when a wave passes from one medium to another at any angle other than 90° or 0°. Refraction of light is the most commonly observed phenomenon, but any type of wave can refract when it interacts with a medium, for example when sound waves pass from one medium into another or when water waves move into water of a different depth."
Acoustic,Acoustic,Resonance,"The tendency of a system to oscillate with larger amplitude at some frequencies than at others. These are known as the system's resonant frequencies. At these frequencies, even small periodic driving forces can produce large amplitude oscillations, because the system stores vibrational energy."
Acoustic,Acoustic,Reverberation,"The persistence of sound in a particular space after the original sound is removed. A reverberation, or reverb, is created when a sound is produced in an enclosed space causing a large number of echoes to build up and then slowly decay as the sound is absorbed by the walls and air.This is most noticeable when the sound source stops but the reflections continue, decreasing in amplitude, until they can no longer be heard."
Acoustic,Acoustic,Scattering,"A general physical process where some forms of radiation, such as light, sound, or moving particles, are forced to deviate from a straight trajectory by one or more localized non-uniformities in the medium through which they pass (includes deviation of reflected radiation from the angle predicted by the law of reflection)."
Acoustic,Acoustic,Surface Acoustic Wave,"(SAW) An acoustic wave traveling along the surface of a material having some elasticity, with an amplitude that typically decays exponentially with the depth of the substrate. This kind of wave is commonly used in devices called SAW devices in electronics circuits."
Acoustic,Acoustic,Ultrasonic Vibration,Vibration at ultrasonic frequencies.
Acoustic,Acoustic,Vibration,Mechanical oscillations about an equilibrium point. The oscillations may be periodic such as the motion of a pendulum or random such as the movement of a tire on a gravel road.
Acoustic,Chemical,Acousto-optic Effect,"A specific case of photoelasticity, where there is a change of a material's permittivity due to a mechanical strain resulting from an acoustic wave which has been excited within a transparent medium giving rise to variation of the refractive index. This creates a diffraction grating moving with the velocity given by the spread on the sound wave in the medium which defracts light forming a prominent diffraction pattern."
Acoustic,Chemical,Sonochemistry,"The effect of sonic waves and wave properties on chemical systems. Sonochemistry arises from acoustic cavitation: the formation, growth, and implosive collapse of bubbles in a liquid. This is demonstrated in phenomena such as ultrasound, sonication, sonoluminescence, and sonic cavitation."
Acoustic,Electrical,Capacitance,The property of a device or material medium to store an electric charge as a result of an electric potential. The most common form of charge storage device is a two-plate capacitor.
Acoustic,Electrical,Colloid Vibration Current,An electroacoustic phenomenon that arises when ultrasound propagates through a fluid that contains ions and either solid particles or emulsion droplets.
Acoustic,Electrical,Eddy Currents,An electrical phenomenon caused when a conductor is exposed to a changing magnetic field due to relative motion of the field source and conductor; or due to variations of the field with time. This can cause eddys of circulating current within the conductor which create electromagnets with magnetic fields that opposes the change of the magnetic field.
Acoustic,Electrical,Electromagnetic Induction,The generation of electromotive force (EMF) in a current-carrying conductor exposed to a changing magnetic field
Acoustic,Electrical,Piezoresistive Effect,The changing electrical resistivity of a semiconductor due to applied mechanical stress.
Acoustic,Electrical,Surface Acoustic Wave,"(SAW) An acoustic wave traveling along the surface of a material having some elasticity, with an amplitude that typically decays exponentially with the depth of the substrate. This kind of wave is commonly used in devices called SAW devices in electronics circuits."
Acoustic,Electromagnetic,Mechanoluminescence,"Light emission resulting from any mechanical action on a solid. It can be produced through ultrasound, or through other means."
Acoustic,Electromagnetic,Sonochemistry,"The effect of sonic waves and wave properties on chemical systems. Sonochemistry arises from acoustic cavitation: the formation, growth, and implosive collapse of bubbles in a liquid. This is demonstrated in phenomena such as ultrasound, sonication, sonoluminescence, and sonic cavitation."
Acoustic,Electromagnetic,Sonoluminescence,The emission of short bursts of light from imploding bubbles in a liquid when excited by sound.
Acoustic,Kinetic,Acoustic Cavitation,"Cavitation induced by an acoustic field. Microscopic gas bubbles which are generally present in a liquid will be forced to oscillate due to an applied acoustic field. If the acoustic intensity is sufficiently high, the bubbles will first grow in size, and then rapidly collapse. High power ultrasonics usually use the inertial cavitation of microscopic vacuum bubbles for treatment of surfaces, liquids and slurries."
Acoustic,Kinetic,Acoustic Radiation Pressure,A force on a particle suspended in the field of a sound wave arising from the scattering of the acoustic waves on the particle.
Acoustic,Kinetic,Faraday Wave,"(or Faraday Ripples) Nonlinear standing waves that appear on liquids enclosed by a vibrating receptacle. When the vibration frequency exceeds a critical value, the flat hydrostatic surface becomes unstable. The waves can take the form of stripes, close-packed hexagons, or even squares or quasiperiodic patterns."
Acoustic,Kinetic,Harmonic Oscillator,"A system which, when displaced from its equilibrium position, experiences a restoring force proportional to the displacement. Mechanical examples include pendula (with small angles of displacement) and masses connected to springs."
Acoustic,Kinetic,Resonance,"The tendency of a system to oscillate with larger amplitude at some frequencies than at others. These are known as the system's resonant frequencies. At these frequencies, even small periodic driving forces can produce large amplitude oscillations, because the system stores vibrational energy."
Acoustic,Kinetic,Sonochemistry,"The effect of sonic waves and wave properties on chemical systems. Sonochemistry arises from acoustic cavitation: the formation, growth, and implosive collapse of bubbles in a liquid. This is demonstrated in phenomena such as ultrasound, sonication, sonoluminescence, and sonic cavitation."
Acoustic,Kinetic,Surface Acoustic Wave,"(SAW) An acoustic wave traveling along the surface of a material having some elasticity, with an amplitude that typically decays exponentially with the depth of the substrate. This kind of wave is commonly used in devices called SAW devices in electronics circuits."
Acoustic,Kinetic,Ultrasonic Capillary Effect,"Abnormally high rise of a liquid and its penetration into capillary channels due to a high-intensity ultrasound field. Caused by the collapse of cavitation bubbles at the capillary inlet. A collaping bubble generates a liquid microjet, the penetration of which into capillary channel causes the height increment of the capillary liquid column. Summation of such increments lies behind the increase of a height and a velocity of the liquid rise in a capillary under the ultrasound action."
Acoustic,Kinetic,Ultrasonic Vibration,Vibration at ultrasonic frequencies.
Acoustic,Kinetic,Ultrasound,"Cyclic sound pressure with a frequency greater than the upper limit of human hearing. Although this limit varies from person to person, 20 kHz serves as a useful lower limit in describing ultrasound."
