query,source,expanded_query,patent_id,patent_abstract
3-D printing system,LLM,3-D printing system,10000056,"A screen printing apparatus includes a pair of clampers that clamp a substrate, a mask plate contacted to the substrate, a pair of squeegees provided above the mask plate vertically, and a squeegee controller that selectively controls one of the pair of squeegees to move in the horizontal direction in abutment against the mask plate so that the selected one of the pair of squeegees slides on the mask plate."
3-D printing system,LLM,3-D printing system,10000010,"3-D printing system include development stations positioned to electrostatically transfer build and support materials to an intermediate transfer surface, a transfer station adjacent the intermediate transfer surface, guides adjacent the transfer station, and platens moving on the guides. The guides are shaped to direct the platens to repeatedly pass the transfer station and come in contact with the intermediate transfer surface at the transfer station. The intermediate transfer surface transfers a layer of the build and support materials to the platens each time the platens contact the intermediate transfer surface at the transfer station to successively form layers of the build and support materials on the platens. The platens and the intermediate transfer surface include rack and pinion structures that temporarily join at the transfer station, as the platens pass the transfer station, to align the platens with the intermediate transfer surface as the platens contact the intermediate transfer surface."
3-D printing system,LLM,3-D printing system,10000353,"A sheet flipping device includes a receiving member for receiving a sheet, a flipping volume being the volume which in operation is defined by the flipping movement of the sheet, and a flipping element for flipping the sheet around an axis of rotation within the flipping volume onto the receiving member. The sheet flipping device further includes an air vortex ring generator having an air vortex ring exit nozzle defining a translational direction of a generated air vortex ring when the generated vortex ring is in operation generated from the air vortex ring exit nozzle. The air vortex ring generator is mounted such that in operation the sheet is urged onto the receiving member by the air vortex ring during the flipping motion of the sheet through the flipping volume. A sheet stacking device and a printing apparatus include the sheet flipping device."
3-D printing system,LLM,3-D printing system,10000024,"An apparatus for controlling 3D printing includes an output determiner configured to determine, after generating a first control command to output a 3D object, whether an additional 3D object is able to be output through an output task for the 3D object, and a control command generator configured to generate a second control command to output a not-yet-output part of the 3D object and the additional 3D object if it is determined that the additional 3D object is able to be output through the output task."
3-D printing system,LLM,3-D printing system,10000324,"In a packing bag to store a stored article Z with tight seal by a welded sheet material 1, a separation-prepared line portion 5, separable by predetermined tensile force by human hands, is provided, and, the separation-prepared line portion 5 is composed of half-cut laser-worked grooves 7 disposed parallel with a small interval and concaved on an inner face 1a and an outer face 1b. "
3-D printing system,TRIZ,"3-D printing system operation Measure parameter Shape 3D Printing The process of creating three dimensional objects from digital data using a materials printer, in a manner similar to printing images on paper. The term is most closely associated with additive manufacturing technology, where an object is created by laying down successive layers of material. Parameter",10000024,"An apparatus for controlling 3D printing includes an output determiner configured to determine, after generating a first control command to output a 3D object, whether an additional 3D object is able to be output through an output task for the 3D object, and a control command generator configured to generate a second control command to output a not-yet-output part of the 3D object and the additional 3D object if it is determined that the additional 3D object is able to be output through the output task."
3-D printing system,TRIZ,"3-D printing system operation Measure parameter Shape 3D Printing The process of creating three dimensional objects from digital data using a materials printer, in a manner similar to printing images on paper. The term is most closely associated with additive manufacturing technology, where an object is created by laying down successive layers of material. Parameter",10000056,"A screen printing apparatus includes a pair of clampers that clamp a substrate, a mask plate contacted to the substrate, a pair of squeegees provided above the mask plate vertically, and a squeegee controller that selectively controls one of the pair of squeegees to move in the horizontal direction in abutment against the mask plate so that the selected one of the pair of squeegees slides on the mask plate."
3-D printing system,TRIZ,"3-D printing system operation Measure parameter Shape 3D Printing The process of creating three dimensional objects from digital data using a materials printer, in a manner similar to printing images on paper. The term is most closely associated with additive manufacturing technology, where an object is created by laying down successive layers of material. Parameter",10000021,"There is provided a method for manufacturing a three-dimensional shaped object. The method of the present invention comprises the repeated steps of: (i) forming a solidified layer by irradiating a predetermined portion of a powder layer with a light beam, thereby allowing a sintering of the powder in the predetermined portion or a melting and subsequent solidification thereof; and (ii) forming another solidified layer by newly forming a powder layer on the resulting solidified layer, followed by the irradiation of a predetermined portion of the powder layer with the light beam; wherein only the surface portion of the solidified layer, to which a force is applied when the three-dimensional shaped object is used, is subjected to a machining process."
3-D printing system,TRIZ,"3-D printing system operation Measure parameter Shape 3D Printing The process of creating three dimensional objects from digital data using a materials printer, in a manner similar to printing images on paper. The term is most closely associated with additive manufacturing technology, where an object is created by laying down successive layers of material. Parameter",10000065,"An inkjet printing system includes an ink reservoir defining a longitudinal axis, an ink-receiving chamber and a control chamber. A control fluid source delivers a control fluid across a range of pressure levels to the control chamber, and an orientation sensor determines an orientation of the longitudinal axis of the ink reservoir and generates an orientation signal. A processor is operably coupled to the control fluid source and the orientation sensor, the processor being programmed to infer an angle of the longitudinal axis relative to the vertical reference axis based on the orientation signal from the orientation sensor, determine a desired pressure for the control chamber based, at least in part, on the inferred angle of the longitudinal axis, and control the control fluid source to adjust the actual pressure level in the control chamber to the desired pressure for the control chamber."
3-D printing system,TRIZ,"3-D printing system operation Measure parameter Shape 3D Printing The process of creating three dimensional objects from digital data using a materials printer, in a manner similar to printing images on paper. The term is most closely associated with additive manufacturing technology, where an object is created by laying down successive layers of material. Parameter",10000306,"Disclosed are container apparatuses that have variable volume capacity, which are useful, for example, as pack-off containers in operations involving manufactured articles. The container apparatuses can have vertically translatable bottom members to adjust volume capacity, and the bottom members can also be rotatable to facilitate the presentation of manufactured articles for removal. The vertically translatable bottom members can be suspended flexible sheet materials, portions of which can be raised or lowered to re-contour the shape of and adjust the volume capacity of the container apparatuses."
